industry_id,zip_code,value
Real estate & rental & leasing ,60655,27
Real estate & rental & leasing ,60656,158
Real estate & rental & leasing ,60657,631
Real estate & rental & leasing ,60659,176
Real estate & rental & leasing ,60660,149
Real estate & rental & leasing ,60661,978
Real estate & rental & leasing ,60666,453
"Professional, scientific & technical services",60601,"31,806"
"Professional, scientific & technical services",60602,"7,956"
"Professional, scientific & technical services",60603,"13,675"
"Professional, scientific & technical services",60604,"5,538"
"Professional, scientific & technical services",60606,"39,582"
"Professional, scientific & technical services",60607,"5,192"
"Professional, scientific & technical services",60608,"1,105"
"Professional, scientific & technical services",60609,624
"Professional, scientific & technical services",60610,"18,278"
"Professional, scientific & technical services",60611,"9,227"
"Professional, scientific & technical services",60612,854
"Professional, scientific & technical services",60613,"1,074"
"Professional, scientific & technical services",60614,"1,330"
"Professional, scientific & technical services",60615,245
"Professional, scientific & technical services",60616,719
"Professional, scientific & technical services",60617,417
"Professional, scientific & technical services",60618,"1,445"
"Professional, scientific & technical services",60619,64
"Professional, scientific & technical services",60620,124
"Professional, scientific & technical services",60621,0
"Professional, scientific & technical services",60622,"1,839"
"Professional, scientific & technical services",60623,181
"Professional, scientific & technical services",60624,148
"Professional, scientific & technical services",60625,559
"Professional, scientific & technical services",60626,0
"Professional, scientific & technical services",60627,0
"Professional, scientific & technical services",60628,100
"Professional, scientific & technical services",60629,0
"Professional, scientific & technical services",60630,330
"Professional, scientific & technical services",60631,"1,787"
"Professional, scientific & technical services",60632,160
"Professional, scientific & technical services",60633,0
"Professional, scientific & technical services",60634,486
"Professional, scientific & technical services",60635,65
"Professional, scientific & technical services",60636,0
"Professional, scientific & technical services",60637,178
"Professional, scientific & technical services",60638,207
"Professional, scientific & technical services",60639,347
"Professional, scientific & technical services",60640,693
"Professional, scientific & technical services",60641,466
"Professional, scientific & technical services",60643,313
"Professional, scientific & technical services",60644,66
"Professional, scientific & technical services",60645,0
"Professional, scientific & technical services",60646,649
"Professional, scientific & technical services",60647,871
"Professional, scientific & technical services",60649,83
"Professional, scientific & technical services",60651,42
"Professional, scientific & technical services",60652,0
"Professional, scientific & technical services",60653,0
"Professional, scientific & technical services",60655,0
"Professional, scientific & technical services",60656,367
"Professional, scientific & technical services",60657,"1,097"
"Professional, scientific & technical services",60659,322
"Professional, scientific & technical services",60660,0
"Professional, scientific & technical services",60661,"7,840"
"Professional, scientific & technical services",60666,210
Management of companies & enterprises,60601,"3,421"
Management of companies & enterprises,60602,244
Management of companies & enterprises,60603,628
Management of companies & enterprises,60604,118
Management of companies & enterprises,60606,"3,480"
Management of companies & enterprises,60607,0
Management of companies & enterprises,60608,0
Management of companies & enterprises,60609,80
Management of companies & enterprises,60610,"1,074"
Management of companies & enterprises,60611,976
Management of companies & enterprises,60612,0
Management of companies & enterprises,60613,0
Management of companies & enterprises,60614,15
Management of companies & enterprises,60615,0
Management of companies & enterprises,60616,0
Management of companies & enterprises,60617,0
Management of companies & enterprises,60618,47
Management of companies & enterprises,60619,0
Management of companies & enterprises,60620,0
Management of companies & enterprises,60621,0
Management of companies & enterprises,60622,0
Management of companies & enterprises,60623,0
Management of companies & enterprises,60624,0
Management of companies & enterprises,60625,0
Management of companies & enterprises,60626,0
Management of companies & enterprises,60627,0
Management of companies & enterprises,60628,0
Management of companies & enterprises,60629,0
