zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60620,17,04/19/2020,04/25/2020,169.0,651.0,838,2087,5,45
60630,13,03/22/2020,03/28/2020,24.0,30.0,175,223,1,2
60646,12,03/15/2020,03/21/2020,9.0,9.0,35,42,0,0
60631,17,04/19/2020,04/25/2020,24.0,122.0,173,898,0,2
60611,11,03/08/2020,03/14/2020,,,10,12,0,0
60644,17,04/19/2020,04/25/2020,173.0,539.0,489,1414,13,28
60607,16,04/12/2020,04/18/2020,32.0,305.0,116,695,0,1
60629,11,03/08/2020,03/14/2020,,,4,5,0,0
60827,20,05/10/2020,05/16/2020,0.0,25.0,28,184,0,3
60653,14,03/29/2020,04/04/2020,47.0,96.0,141,351,3,4
60619,16,04/12/2020,04/18/2020,94.0,416.0,344,1211,6,25
60654,20,05/10/2020,05/16/2020,8.0,123.0,108,621,0,0
60707,11,03/08/2020,03/14/2020,,,2,3,0,0
60646,17,04/19/2020,04/25/2020,28.0,105.0,348,881,2,5
60620,12,03/15/2020,03/21/2020,23.0,26.0,99,114,2,2
60657,19,05/03/2020,05/09/2020,26.0,247.0,251,1552,2,17
60647,11,03/08/2020,03/14/2020,,,25,25,0,0
60643,13,03/22/2020,03/28/2020,41.0,50.0,186,269,0,0
60634,11,03/08/2020,03/14/2020,,,4,7,0,0
60621,11,03/08/2020,03/14/2020,,,3,3,0,0
60609,11,03/08/2020,03/14/2020,,,5,7,0,0
