stop_id,object_id,route,address,longitude,latitude,zip_code
6538,2935,24,Wentworth & 66th Street,-87.63008,41.774693,60621
6501,2936,"24,31",3200 S Wentworth,-87.631677,41.836478,60616
1593,2937,"1,3,4",Michigan & 14th Street,-87.624185,41.863883,60605
17175,2938,56,Milwaukee & Lawrence,-87.76069067,41.96771631,60630
6520,2939,24,Wells & 51st Street,-87.63205788,41.80161227,60609
2884,2940,111,111th Street & Stewart,-87.63308275,41.69242203,60628
4772,2941,"82,92",Foster & Spaulding,-87.711223,41.97566,60625
9264,2942,77,Belmont & Kilbourn,-87.73964006,41.938829299999995,60641
3357,2943,165,65th Street & Nashville,-87.78613844,41.77385614,60638
724,2944,65,Grand & Hoyne,-87.67950809,41.89070032,60612
9228,2945,77,Belmont & Pacific (80th Avenue),-87.82638929,41.93769211,60171
9387,2946,"48,87",87th Street & Longwood,-87.67613476,41.73547262,60643
1753,2947,"96,155",Morse & Greenview,-87.66791571,42.00779501,60626
6,2948,126,Jackson & Lotus,-87.76144599999999,41.876513,60644
9849,2949,88,Devon & Overhill,-87.819091,41.996854,60631
12225,2950,106,1001 E 103rd Street,-87.59894793,41.70748636,60628
3347,2951,165,65th Street & Nottingham,-87.79818391,41.77381828,60638
6457,2952,24,Wentworth & 60th Street,-87.630225,41.785295,60621
6456,2953,24,Wentworth & 61st Street,-87.630177,41.782983,60621
9110,2954,53,Pulaski & Wabansia,-87.72630500000001,41.911621999999994,60639
14483,2955,"2,6,10,J14,26,28",1100 S Columbus (Pedestrian Underpass),-87.62035471,41.86935952,60605
9619,2956,91,Austin & Harvard/Arthington,-87.77414589,41.86916521,60644
13020,2957,59,Dorchester & 61st Street,-87.59136359,41.784421,60637
11800,2958,90,Harlem & George,-87.80646467,41.93249129,60707
8704,2959,48,Damen & 86th Street,-87.672675,41.737384000000006,60620
6958,3002,"21,322",Cermak & Austin,-87.77354384,41.85091605,60804
11930,2960,"N5,95",93rd Street & Woodlawn,-87.59499288,41.72578706,60619
4070,2961,73,Cortland & Ashland,-87.66812848,41.91601775,60642
12516,2962,152,Addison & St. Louis,-87.71526047,41.94646099,60618
5649,2963,80,Irving Park & Sacramento,-87.70322088,41.95384881,60618
14512,2964,66,Chicago & Long,-87.76053449,41.89484448,60651
12447,2965,119,119th Street & Morgan,-87.64687981,41.6776699,60643
14565,2966,70,Division & Leavitt,-87.68196569,41.90303499,60622
3435,2967,63,63rd Street & Indiana,-87.62053399999999,41.780058000000004,60637
11312,2968,78,Montrose & Austin,-87.777128,41.960289,60634
8168,2969,47,47th Street & Racine,-87.65539005,41.80866398,60609
1990,2970,70,Division & Pulaski,-87.72644847,41.90259074,60651
14764,2971,20,Madison & Homan,-87.71073049,41.88084064,60624
15326,2972,63W,63rd Street & Central,-87.76131091,41.77799105,60638
575,2973,66,Chicago & Clark,-87.63136267,41.89653382,60654
7687,2974,"4,35",35th Street & King Drive,-87.61762453,41.8310224,60616
10928,2975,75,75th Street & Vincennes,-87.63165333,41.75805921,60620
6344,2976,60,Racine & Taylor,-87.65665985,41.8693069,60607
1250,2977,74,Fullerton & Kimball,-87.71186757,41.92478637,60647
5705,2978,80,Irving Park & Elston/Monticello,-87.71896505,41.95387821,60618
11405,2979,78,Montrose & Lavergne,-87.75227526,41.96070391,60641
2435,2980,29,69th Red Line Station,-87.62552269,41.76884376,60621
5678,2981,"80,X9",Irving Park & Clark,-87.6620728,41.95445298,60613
17204,2982,47,47th Street & Pulaski,-87.72388424,41.80795054,60632
15886,2983,87,87th Street Red Line Station,-87.62476573,41.7364112,60620
1746,2984,155,Pratt & Sheridan,-87.66118942,42.00562643,60626
12069,2985,96,Lunt & Ridge,-87.68166487,42.00888762,60645
2196,2986,3,King Drive & 29th Street,-87.61764714,41.84186739,60616
7246,2987,30,South Chicago & 87th Street/Yates,-87.56612085,41.73735266,60617
7808,2988,35,36th Street & Kedzie Terminal,-87.70501149,41.82843607,60632
1586,2989,"1,3,4,J14,26,28",Michigan & Harrison,-87.62437372,41.874559600000005,60605
9561,2990,91,Austin & Montrose,-87.77709,41.960426,60634
9541,2991,86,Nagle & Avondale/Somerset,-87.78777026,41.98444085,60646
10907,2992,75,74th Street & Damen Terminal,-87.67375364,41.75952377,60636
17408,2993,29,State & 45th Street,-87.62629628,41.81282912,60609
7286,2994,30,Avenue O & 114th Street,-87.54022545,41.6883473,60617
5817,2995,8,Halsted & 30th Street,-87.64634699999999,41.8399,60608
14027,2996,30,Brainard & Brandon,-87.54591268,41.64837633,60633
11677,2997,85A,Lehigh & Devon,-87.76591662,41.99741073,60646
4389,2998,"62,62H",Archer & Austin,-87.77222225,41.79409776,60638
15555,2999,53,Pulaski & 15th Street,-87.72509292,41.86048759,60623
10610,3000,55,Garfield & Oakley,-87.681122,41.793906,60609
6964,3001,"21,322",Cermak & Home,-87.798156,41.850558,60402
941,3003,72,North Ave & Paulina,-87.67009398,41.91068367,60622
12081,3004,96,Touhy & Albany,-87.70663944,42.01196206,60645
11769,3005,90,Harlem & Agatite,-87.80737215,41.96137137,60706
9612,3006,91,Austin Blue Line Station,-87.77436591,41.87110193,60304
11154,3007,82,Kimball & Bloomingdale,-87.711862,41.913416999999995,60647
5592,3008,80,Irving Park & Cumberland Terminal,-87.8375348,41.95222299,60634
8864,3009,50,Damen & Fulton,-87.676849,41.886851,60612
9797,3010,"85,85A",Milwaukee & Foster,-87.76700708,41.97461387,60630
9901,3011,68,Northwest Hwy & Neva,-87.8047,41.9958,60631
3686,3012,8A,Halsted & 84th Street,-87.64387169,41.74159366,60620
4442,3013,62,Archer & Arch,-87.659452,41.84082019,60608
4493,3014,62,Archer & Brighton,-87.69252569,41.82138706,60632
10041,3015,52A,Kedzie & 98th Street,-87.70173711,41.71539975,60805
17655,3016,77,Belmont & Octavia,-87.80893759,41.9378972,60634
17659,3017,115,115th Street & Ashland,-87.66117078,41.68476068,60643
5364,3018,36,Broadway & Aldine,-87.64454,41.9423,60657
17604,3082,81,Lawrence & Damen,-87.67946362,41.96884119,60625
17606,3083,81,Lawrence & Wolcott,-87.67595811,41.9687203,60640
17607,3084,49,Western & Sunnyside,-87.68886244,41.96295285,60625
17608,3085,49,Western & Grace,-87.68847992,41.95015128,60618
17609,3086,78,Montrose & Western,-87.68831156,41.96126049,60618
17610,3087,78,Montrose & Damen,-87.67923725,41.96153408,60625
17613,3088,48,Damen & 66th Street,-87.67382692,41.7737045,60636
15428,3089,2,60th Street & Kimbark,-87.59405738,41.78610827,60637
2264,3090,3,95th Street & King Drive,-87.61366877,41.72179669,60628
2103,3091,"3,4",Chicago State University,-87.608898,41.721068,60628
14263,3092,"201,206",Ridge & Lee,-87.68732277,42.03593967,60202
14267,3093,"201,206",Ridge & Crain,-87.68808936,42.03948112,60202
17150,3094,"201,206",Ridge & Austin,-87.68516234,42.02544678,60202
7248,3095,30,South Chicago & 89th Street,-87.560399,41.73324129,60617
2597,3096,"4,N5,95",Cottage Grove & Lyon,-87.604637,41.724292999999996,60619
5544,3097,56,Milwaukee & Wabansia,-87.68082869,41.9126159,60647
8846,3098,50,Damen & Churchill,-87.677626,41.914796,60647
9224,3099,77,Belmont & Cumberland Terminal,-87.83553814,41.93726672,60171
5133,3100,44,Wallace & 28th Street,-87.64164192,41.84362479999999,60616
15030,3101,62,Archer & Pope John Paul II/43rd St,-87.70260693,41.81519829999999,60632
8792,3102,"48,94",Damen & 73rd Street,-87.673509,41.761239,60636
1843,3103,"22,36,73",Clark & Wisconsin,-87.63516369999999,41.91671284,60614
12248,3104,100,Avenue C & 108th Street,-87.52704667,41.69913844,60617
12878,3105,53A,Pulaski & 94th Street,-87.72145519,41.72233949,60805
8190,3106,49,Western & Belle Plaine,-87.68865362,41.95595329,60618
5214,3107,"N5,15",Jeffery & 72nd Street,-87.57641527,41.76424541,60649
2263,3108,3,King Drive & 94th Street,-87.61422905,41.72349998,60619
9448,3109,87,Buffalo & 88th Street,-87.54446800000001,41.735802,60617
9815,3110,88,Higgins & Newland,-87.79988358,41.97964429,60656
12358,3111,112,Vincennes & Ashland,-87.66171705,41.69455623,60643
9598,3112,91,Austin & Superior,-87.77517517,41.89371476,60302
7055,3113,"6,26",S. Shore Drive & 74th Street,-87.55880171,41.76215515,60649
10364,3114,54B,Cicero & State Road,-87.74187045,41.75895214,60638
845,3115,72,Neva & North Ave,-87.80400999999999,41.909026000000004,60707
14357,3116,"93,206",Dodge & Warren,-87.69948434,42.02752259,60202
